0 5.92516 5 0.925157
0.214286 2.11514 2.39435 0.279214
0.428571 -2.61469 -2.70683 0.0921373
0.642857 -4.96357 -4.9868 0.0232218
0.857143 -2.04689 -2.06923 0.0223385
1.07143 2.97848 3.00501 0.0265322
1.28571 4.90609 4.94725 0.0411651
1.5 1.71865 1.73318 0.0145258
1.71429 -3.26012 -3.28732 0.0271987
1.92857 -4.83915 -4.88157 0.0424253
2.14286 -1.38188 -1.38797 0.00608775
2.35714 3.5432 3.55226 0.00906119
2.57143 4.67256 4.79011 0.117554
2.78571 1.31552 1.03543 0.280094
3 -4.84432 -3.79844 1.04588
